2016-12-04 13:06:43.391 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-12-04 13:06:43.534 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-12-04 13:06:43.604 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-12-04 13:06:44.297 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:06:44.303 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:06:44.306 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:06:44.310 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:06:44.318 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:06:44.325 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:06:44.332 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:06:44.338 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:06:44.345 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:09:49.514 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-12-04 13:09:49.615 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-12-04 13:09:49.704 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-12-04 13:09:50.365 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:09:50.370 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:09:50.373 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:09:50.376 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:09:50.383 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:09:50.389 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:09:50.395 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:09:50.401 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:09:50.407 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:18:54.771 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-12-04 13:18:54.880 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-12-04 13:18:54.983 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-12-04 13:18:55.775 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:18:55.780 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:18:55.782 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:18:55.785 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:18:55.793 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:18:55.799 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:18:55.804 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:18:55.810 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:18:55.816 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:34:58.282 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-12-04 13:34:58.482 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-12-04 13:34:58.600 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-12-04 13:34:59.355 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:34:59.363 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:34:59.368 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:34:59.374 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-12-04 13:34:59.389 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:34:59.395 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:34:59.402 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:34:59.408 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 13:34:59.415 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 14:14:03.450 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-12-04 14:15:16.289 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-12-04 14:15:16.403 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-12-04 14:15:16.514 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-12-04 14:15:17.216 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-04 14:15:17.228 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
