2016-11-23 01:41:31.808 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:41:31.815 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:41:31.822 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:41:31.827 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:41:31.833 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:41:31.839 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:42:23.921 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-11-23 01:42:24.100 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-11-23 01:42:24.168 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-11-23 01:42:24.752 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:42:24.756 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:42:24.759 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:42:24.762 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:42:24.769 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:42:24.775 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:42:24.794 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:42:24.800 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:42:24.809 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:43:30.444 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-11-23 01:43:30.614 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-11-23 01:43:30.685 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-11-23 01:43:31.330 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:43:31.341 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:43:31.355 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:43:31.360 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:43:31.378 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:43:31.397 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:43:31.411 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:43:31.425 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:43:31.435 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:57:41.744 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-11-23 01:57:41.928 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-11-23 01:57:42.045 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-11-23 01:57:42.774 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:57:42.781 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:57:42.790 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:57:42.794 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:57:42.804 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
